alternatives	bachelor	course	discipline	elective	group_id	outcome	payed	person_id	session_id
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	4	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	3	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	28d6fc2590cff81193235564abe93cab	False	54d795480fb6f8e495ed224842d6fb6e	3	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	4	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	3	True	a2019fd17eefc3331162e6898880d063	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	3	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	4	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	3	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	4	True	f14e281dea829db1353b1008394e5e0c	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	4	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	4	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	5	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	4	True	62e817ed2761a40886963d800a7b6498	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	4	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	4	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	4	True	d26b1f6e0518e2fbf16eafa5c6f4546d	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	ня/ня/ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	28d6fc2590cff81193235564abe93cab	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	ня	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	da56ecb2c1be9bfb060c0b0347f50569	False	54d795480fb6f8e495ed224842d6fb6e	отчисление по с/з декана	True	7be9b88291c6459c777d6d35f9fab6a2	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	незач	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	ня/ня/ня	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	da56ecb2c1be9bfb060c0b0347f50569	False	54d795480fb6f8e495ed224842d6fb6e	отчисление по с/з декана	True	de0778ad2a6828e413ccfaebdbcedc91	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	незач	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	ня/2	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	3	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	4	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	da56ecb2c1be9bfb060c0b0347f50569	False	54d795480fb6f8e495ed224842d6fb6e	а/о с 12.09.2018	True	3d7b53e51ae5c77a445556b58e7421f3	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	ня/2/2/3	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	ня/2/3	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	28d6fc2590cff81193235564abe93cab	False	54d795480fb6f8e495ed224842d6fb6e	3	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	3	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	5	True	cc5d4fd24b0c0815d7df9b8540810bed	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	ня/2/3	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	2f5197c27b0400c2d569f2883a1d64b4	False	54d795480fb6f8e495ed224842d6fb6e	3	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	3	True	6bb977cd9715d035ad9d9dec7b9d4b95	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	de76e030cd30c043dd63f5489745c4d1	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	c950b09ba903445a368a66abb16b216c	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	незач/зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	2/2/3	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	d3b8802fc7fdb1380ec135555a046f6b	False	54d795480fb6f8e495ed224842d6fb6e	4	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	966a6e9bdb145951268a4bbd66cac44d	False	54d795480fb6f8e495ed224842d6fb6e	4	True	a48479fca8f6d42798573022d2ca0363	17-18-summer
	True	1	f0fd4c5d8df2e8b582c82dcaed44f62f	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
	True	1	181c41252bc58abb6ecfc378d06793b7	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
	True	1	e68ff2c14afe5055a8df2ff7ede3776b	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
	True	1	74aab204f2d0e2a8662d375fe7c158d4	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
	True	1	80fc2d788c667a4c83487acbfeee16a0	False	54d795480fb6f8e495ed224842d6fb6e	зач	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
	True	1	bcd14d42ad0b9545153b6a11676c0a84	False	54d795480fb6f8e495ed224842d6fb6e	2/3	True	8ca4120fd028e0c67275797557df4ab2	17-18-summer
